0,11,4
200,9,3
401,5,0
602,4,0
801,5,0
1002,5,0
1203,4,1
1403,5,138
1604,94,296
1805,260,480
2006,193,564
2206,451,568
2407,246,625
2608,427,762
2808,450,907
3010,434,950
3211,455,976
3411,455,1004
3612,473,1011
3813,469,1003
4014,466,954
4214,465,839
4415,444,716
4616,453,575
4816,232,448
5017,420,451
5218,255,353
5419,147,141
5619,187,4
5820,6,0
6021,5,0
6221,5,0
6422,6,0
6623,2,63
6823,112,205
7024,123,409
7225,418,571
7426,235,717
7626,437,851
7827,443,950
8028,433,943
8228,427,917
8429,431,995
8631,457,981
8832,457,888
9032,449,730
9233,446,524
9434,190,348
9634,410,179
9835,134,27
10036,41,0
